"State","hitdiffs","date_end","anxdiffs"
"CA",0,2020-08-30,-0.066200486732537
"CA",5,2020-09-06,0.0251342932031829
"CA",6,2020-09-13,0.040356756525802
"CA",-7,2020-09-20,0.037788165720384
"CA",4,2020-09-27,0.037360067252815
"CA",-1,2020-10-04,0.09279490636733
"CA",-3,2020-10-11,0.102034046219749
"CA",-4,2020-10-18,0.052576898212629
"CA",2,2020-10-25,0.0443340402114429
"CA",1,2020-11-01,0.029251189232946
"CA",-3,2020-11-08,0.0267373807365351
"CA",-3,2020-11-15,0.0545413577955001
"CA",20,2020-11-22,0.0591753539719899
"CA",12,2020-11-29,-0.1218094494554
"CA",6,2020-12-06,-0.15197358335997
"CA",15,2020-12-13,0.00444786602368796
"CA",-1,2020-12-20,0.030518107587632
"CA",11,2020-12-27,0.0102913724361561
"CA",0,2021-01-03,0.00692024991090889
"CA",-7,2021-01-10,0.00692024991091
"CA",-5,2021-01-17,0.006920249910909
"CA",-8,2021-01-24,-0.0161029024630439
"CA",-5,2021-01-31,-0.019940094525369
"CA",0,2021-02-07,-0.0256415146422
"CA",-14,2021-02-14,-0.026591751328339
"CA",-10,2021-02-21,-0.075135696501997
"CA",8,2021-02-28,-0.0832263540309399
"CA",-1,2021-03-07,0.010676970224488
"CA",7,2021-03-14,0.02632752426706
"CA",-6,2021-03-21,0.134716217769294
"CA",7,2021-03-28,0.152781000019663
"CO",-2,2020-05-17,0.141251977215647
"CO",-4,2020-05-24,-0.10974122812919
"CO",-3,2020-05-31,-0.000538554406662062
"CO",-2,2020-06-07,0.39288250752228
"CO",-15,2020-06-14,0.149672882463524
"CO",-7,2020-06-21,-0.443763622988723
"CO",10,2020-06-28,0.152004802253757
"CO",6,2020-07-05,0.096377624928762
"CO",5,2020-07-12,0.0712539262119189
"CO",-7,2020-07-19,0.426812673366975
"CO",6,2020-07-26,0.0693426240771902
"CO",4,2020-08-02,-0.1227698977623
"CO",-20,2020-08-09,-0.12276989776229
"CO",-6,2020-08-16,-0.1227698977623
"CO",-1,2020-08-23,-0.122769897762292
"CO",-2,2020-08-30,-0.122769897762295
"CO",10,2020-09-06,-0.011388966738032
"CO",8,2020-09-13,0.00717452176601097
"CO",-3,2020-09-20,0.0413131203211481
"CO",1,2020-09-27,0.0470028867470049
"CO",3,2020-10-04,-0.139129174793716
"CO",-5,2020-10-11,-0.170151185050503
"CO",3,2020-10-18,0.079343464103511
"CO",12,2020-10-25,0.120925905629181
"CO",15,2020-11-01,0.115796008915603
"CO",13,2020-11-08,0.114941026130009
"CO",-33,2020-11-15,0.19519227404605
"CO",33,2020-11-22,0.20856748203205
"CO",-9,2020-11-29,-0.15735346839486
"CO",-18,2020-12-06,-0.21834029346601
"CO",1,2020-12-13,0.13528830861569
"CO",-6,2020-12-20,0.19422640896264
"CO",5,2020-12-27,-0.04852293231703
"CO",9,2021-01-03,-0.08898115586363
"CO",-8,2021-01-10,-0.08898115586363
"CO",-10,2021-01-17,-0.08898115586364
"CO",-1,2021-01-24,0.01583081043302
"CO",3,2021-01-31,0.0332994714824499
"CO",12,2021-02-07,-0.151929807257572
"CO",-9,2021-02-14,-0.182801353714248
"CO",-19,2021-02-21,0.130637023236827
"CO",14,2021-02-28,0.182876752728673
"CO",-1,2021-03-07,0.11212664959892
"CO",-3,2021-03-14,0.10033496574396
"CO",2,2021-03-21,-0.16222650327131
"CO",12,2021-03-28,-0.205986748107186
"CT",5,2020-05-17,-0.264101959322251
"CT",-4,2020-05-24,-0.378048950824511
"CT",-9,2020-05-31,0.373752327257269
"CT",1,2020-06-07,-0.110501293450851
"CT",-8,2020-06-14,0.336505445287044
"CT",-7,2020-06-21,0.0735856984481699
"CT",7,2020-06-28,-0.300223513728649
"CT",1,2020-07-05,0.00328746373254396
"CT",1,2020-07-12,-0.112307190352394
"CT",-8,2020-07-19,-0.118481162655777
"CT",13,2020-07-26,-0.011737129973511
"CT",7,2020-08-02,0.015255756062442
"CT",-22,2020-08-09,0.015255756062441
"CT",3,2020-08-16,0.015255756062442
"CT",6,2020-08-23,0.015255756062442
"CT",1,2020-08-30,0.015255756062442
"CT",3,2020-09-06,0.318412746208665
"CT",12,2020-09-13,0.368938911233033
"CT",-8,2020-09-20,-0.17252071177684
"CT",7,2020-09-27,-0.262763982278492
"CT",-9,2020-10-04,-0.109420190966544
"CT",0,2020-10-11,-0.083862892414554
"CT",-5,2020-10-18,0.031236462821971
"CT",12,2020-10-25,0.050419688694724
"CT",6,2020-11-01,0.07026371713499
"CT",13,2020-11-08,0.073571055208367
"CT",-26,2020-11-15,-0.100894607985555
"CT",14,2020-11-22,-0.129972218517875
"CT",3,2020-11-29,0.102575913237635
"CT",-11,2020-12-06,0.141333935196887
"CT",16,2020-12-13,0.010178612428857
"CT",-16,2020-12-20,-0.0116806080324819
"CT",17,2020-12-27,0.100952241087101
"CT",1,2021-01-03,0.11972438260703
"CT",-5,2021-01-10,0.11972438260703
"CT",7,2021-01-17,0.11972438260702
"CT",-6,2021-01-24,0.0201432078688699
"CT",-7,2021-01-31,0.00354634541249998
"CT",-3,2021-02-07,-0.08396287814017
"CT",6,2021-02-14,-0.0985477487322799
"CT",-15,2021-02-21,-0.214917237404833
"CT",16,2021-02-28,-0.234312152183589
"CT",20,2021-03-07,-0.055254203816244
"CT",-14,2021-03-14,-0.025411212421687
"CT",-1,2021-03-21,0.217204951699842
"CT",5,2021-03-28,0.257640979053431
"DE",-7,2020-05-17,0.272242701283697
"DE",3,2020-05-24,0.12062424781669
"DE",-6,2020-05-31,-0.359034940330442
"DE",-2,2020-06-07,-0.134142586331594
"DE",-8,2020-06-14,0.019167309455239
"DE",-7,2020-06-21,-0.0436425942431899
"DE",9,2020-06-28,0.095836718123649
"DE",18,2020-07-05,0.04487907743877
"DE",-6,2020-07-12,0.261537879797325
"DE",-10,2020-07-19,-0.039954795362269
"DE",8,2020-07-26,-0.0797943455981199
"DE",9,2020-08-02,-0.0306200523071321
"DE",-19,2020-08-09,-0.0306200523071321
"DE",-4,2020-08-16,-0.0306200523071319
"DE",1,2020-08-23,-0.030620052307133
"DE",-1,2020-08-30,-0.030620052307132
"DE",7,2020-09-06,-0.084294487168329
"DE",9,2020-09-13,-0.093240226311863
"DE",-14,2020-09-20,0.099798201503374
"DE",2,2020-09-27,0.131971272805914
"DE",2,2020-10-04,0.070734978600022
"DE",-4,2020-10-11,0.0605289295657071
"DE",-4,2020-10-18,0.0380241286919739
"DE",3,2020-10-25,0.034273328546352
"DE",-4,2020-11-01,0.439782556517146
"DE",11,2020-11-08,0.50736742784562
"DE",-4,2020-11-15,-0.35235770585207
"DE",23,2020-11-22,-0.495645228135013
"DE",4,2020-11-29,0.043952452211294
"DE",-8,2020-12-06,0.133885398935679
"DE",20,2020-12-13,0.32522302052866
"DE",-12,2020-12-20,0.35711262412749
"DE",0,2020-12-27,-0.15730380069988
