"","State","EndofWeek","Cases","LogRatio"
"2263","OK",2020-06-28,546.142857142857,0.148325842667051
"2264","OK",2020-07-05,688.428571428571,0.23153098294392
"2265","OK",2020-07-12,864,0.227161201219036
"2266","OK",2020-07-19,820,-0.0522684285457568
"2267","OK",2020-07-26,704.285714285714,-0.152120222276876
"2268","OK",2020-08-02,611.428571428571,-0.141385978460893
"2269","OK",2020-08-09,618.285714285714,0.0111525319504751
"2270","OK",2020-08-16,666.857142857143,0.0756251728801292
"2271","OK",2020-08-23,635.285714285714,-0.0485010028957502
"2272","OK",2020-08-30,810.714285714286,0.243840851838907
"2273","OK",2020-09-06,889.714285714286,0.0929846906042855
"2274","OK",2020-09-13,911.142857142857,0.0237993146161141
"2275","OK",2020-09-20,1140.57142857143,0.224584970421297
"2276","OK",2020-09-27,1086.85714285714,-0.0482392137660738
"2277","OK",2020-10-04,1093.85714285714,0.00641993688789728
"2278","OK",2020-10-11,1222.14285714286,0.11089564521317
"2279","OK",2020-10-18,1187.28571428571,-0.0289359687732675
"2280","OK",2020-10-25,1367.42857142857,0.141262231475238
"2281","OK",2020-11-01,1545.85714285714,0.122646520543385
"2282","OK",2020-11-08,2529.14285714286,0.492301912159237
"2283","OK",2020-11-15,3239.71428571429,0.247604688800899
"2284","OK",2020-11-22,3243.28571428571,0.00110178279584002
"2285","OK",2020-11-29,2768.57142857143,-0.158255467882868
"2286","OK",2020-12-06,3205,0.146380632965327
"2287","OK",2020-12-13,3084.28571428571,-0.0383919949012307
"2288","OK",2020-12-20,3421.57142857143,0.103779832111993
"2289","OK",2020-12-27,3219.71428571429,-0.0608073031085518
"2290","OK",2021-01-03,3770,0.157782376985075
"2291","OK",2021-01-10,3458.28571428571,-0.0863019934692326
"2292","OK",2021-01-17,2670.57142857143,-0.258480540285608
"2293","OK",2021-01-24,2304,-0.147645724871434
"2294","OK",2021-01-31,1935.14285714286,-0.174465591096246
"2295","OK",2021-02-07,1524.14285714286,-0.238748960583388
"2296","OK",2021-02-14,844.142857142857,-0.590865727845787
"2297","OK",2021-02-21,492.142857142857,-0.539552707897916
"2298","OK",2021-02-28,403.857142857143,-0.197707825754169
"2299","OK",2021-03-07,346.428571428571,-0.153384554322007
"2300","OK",2021-03-14,329,-0.0516189035508984
"2301","OK",2021-03-21,240,-0.315418827423381
"2302","OK",2021-03-28,175.571428571429,-0.31259296283127
"2303","OK",2021-04-04,201.571428571429,0.138097842286779
"2304","OK",2021-04-11,788.666666666667,1.36419995307272
"2305","OR",2020-01-26,0,NA
"2306","OR",2020-02-02,0,NA
"2307","OR",2020-02-09,0,NA
"2308","OR",2020-02-16,0,NA
"2309","OR",2020-02-23,0,NA
"2310","OR",2020-03-01,0.142857142857143,NA
"2311","OR",2020-03-08,1.85714285714286,2.56494935746154
"2312","OR",2020-03-15,3.57142857142857,0.653926467406664
"2313","OR",2020-03-22,17.4285714285714,1.58514521986506
"2314","OR",2020-03-29,55.2857142857143,1.15440364829653
"2315","OR",2020-04-05,74.2857142857143,0.295404118545691
"2316","OR",2020-04-12,65.5714285714286,-0.124778601514928
"2317","OR",2020-04-19,54.7142857142857,-0.181015220879899
"2318","OR",2020-04-26,57.2857142857143,0.0459264381259232
"2319","OR",2020-05-03,52.7142857142857,-0.0831647832660419
"2320","OR",2020-05-10,78.2857142857143,0.395478642907488
"2321","OR",2020-05-17,56.4285714285714,-0.327389522046894
"2322","OR",2020-05-24,43.4285714285714,-0.2618580634949
"2323","OR",2020-05-31,45.1428571428571,0.0387145121806904
"2324","OR",2020-06-07,80.7142857142857,0.581083517559529
"2325","OR",2020-06-14,118.285714285714,0.382187423238819
"2326","OR",2020-06-21,185.857142857143,0.451875324127246
"2327","OR",2020-06-28,200.571428571429,0.0761921060732512
"2328","OR",2020-07-05,269.857142857143,0.296722282915753
"2329","OR",2020-07-12,277.142857142857,0.0266403845558644
"2330","OR",2020-07-19,344.142857142857,0.216523750557498
"2331","OR",2020-07-26,311.285714285714,-0.100345667670252
"2332","OR",2020-08-02,334.142857142857,0.0708574316395593
"2333","OR",2020-08-09,310.714285714286,-0.0726948230613946
"2334","OR",2020-08-16,353.142857142857,0.127998875054797
"2335","OR",2020-08-23,170.428571428571,-0.728556396479665
"2336","OR",2020-08-30,231,0.304101437479191
"2337","OR",2020-09-06,212.857142857143,-0.0817964606376021
"2338","OR",2020-09-13,184.714285714286,-0.141811020167647
"2339","OR",2020-09-20,209.142857142857,0.124207315749399
"2340","OR",2020-09-27,288.428571428571,0.321429923791581
"2341","OR",2020-10-04,278.571428571429,-0.0347729667550451
"2342","OR",2020-10-11,355,0.242443286972937
"2343","OR",2020-10-18,325.285714285714,-0.0874138724669895
"2344","OR",2020-10-25,367,0.120657931046144
"2345","OR",2020-11-01,475.428571428571,0.258854804831216
"2346","OR",2020-11-08,717,0.410859187713834
"2347","OR",2020-11-15,918.857142857143,0.248054821203869
"2348","OR",2020-11-22,1184.28571428571,0.253764437270538
"2349","OR",2020-11-29,1278.57142857143,0.0766035631395606
"2350","OR",2020-12-06,1482.28571428571,0.147841914727379
"2351","OR",2020-12-13,1336.71428571429,-0.103370720720367
"2352","OR",2020-12-20,1296.71428571429,-0.0303809847492857
"2353","OR",2020-12-27,970.714285714286,-0.289556693941383
"2354","OR",2021-01-03,1145.71428571429,0.165751374275316
"2355","OR",2021-01-10,1134,-0.0102770675175495
"2356","OR",2021-01-17,1074.57142857143,-0.0538292943127289
"2357","OR",2021-01-24,709,-0.415821663442841
"2358","OR",2021-01-31,606.857142857143,-0.155562112665666
"2359","OR",2021-02-07,672.285714285714,0.102390006365533
"2360","OR",2021-02-14,451.285714285714,-0.398582768485223
"2361","OR",2021-02-21,362.428571428571,-0.219273241202803
"2362","OR",2021-02-28,397,0.0911088701432217
"2363","OR",2021-03-07,241.142857142857,-0.498546754586601
"2364","OR",2021-03-14,333.142857142857,0.323181872314481
"2365","OR",2021-03-21,273.428571428571,-0.197530975457483
"2366","OR",2021-03-28,345.857142857143,0.234985384925159
"2367","OR",2021-04-04,418.571428571429,0.190821745073054
"2368","OR",2021-04-11,415.333333333333,-0.00776614227651098
"2369","PA",2020-01-26,0,NA
"2370","PA",2020-02-02,0,NA
"2371","PA",2020-02-09,0,NA
"2372","PA",2020-02-16,0,NA
"2373","PA",2020-02-23,0,NA
"2374","PA",2020-03-01,0,NA
"2375","PA",2020-03-08,0.857142857142857,NA
"2376","PA",2020-03-15,8.14285714285714,2.2512917986065
"2377","PA",2020-03-22,59.4285714285714,1.98763399242671
"2378","PA",2020-03-29,416.428571428571,1.94693983852333
"2379","PA",2020-04-05,1159.42857142857,1.02396760216111
"2380","PA",2020-04-12,1617.57142857143,0.332998633368334
"2381","PA",2020-04-19,1350.14285714286,-0.180715499318984
"2382","PA",2020-04-26,1268.71428571429,-0.062206392736552
"2383","PA",2020-05-03,1157.42857142857,-0.0918032184958683
"2384","PA",2020-05-10,1049.14285714286,-0.0982272914623094
"2385","PA",2020-05-17,803.285714285714,-0.267018324008125
"2386","PA",2020-05-24,850.285714285714,0.0568619682207262
"2387","PA",2020-05-31,585.142857142857,-0.373716409793584
"2388","PA",2020-06-07,523,-0.112274553599108
"2389","PA",2020-06-14,454,-0.141484266023575
"2390","PA",2020-06-21,437.857142857143,-0.0362044987263495
"2391","PA",2020-06-28,543.142857142857,0.215479674678063
"2392","PA",2020-07-05,616.571428571429,0.126801803329651
"2393","PA",2020-07-12,776.857142857143,0.231082298814391
"2394","PA",2020-07-19,856.571428571429,0.0976812340300723
"2395","PA",2020-07-26,932.285714285714,0.0847016179307776
"2396","PA",2020-08-02,760.857142857143,-0.203193710779388
"2397","PA",2020-08-09,751.714285714286,-0.0120893047736396
"2398","PA",2020-08-16,801.142857142857,0.063682967114188
"2399","PA",2020-08-23,655.428571428571,-0.200749950465165
"2400","PA",2020-08-30,636.571428571429,-0.0291926966421414
"2401","PA",2020-09-06,830.285714285714,0.265673243083054
"2402","PA",2020-09-13,779.714285714286,-0.0628423234218899
"2403","PA",2020-09-20,829.142857142857,0.0614649127357948
"2404","PA",2020-09-27,796,-0.0407932791043822
"2405","PA",2020-10-04,1055,0.281696860065784
"2406","PA",2020-10-11,1240.14285714286,0.161685813426328
"2407","PA",2020-10-18,1428,0.141048283563035
"2408","PA",2020-10-25,1725.14285714286,0.189034998871886
"2409","PA",2020-11-01,2235.42857142857,0.259123101447869
"2410","PA",2020-11-08,2994,0.292177321760288
"2411","PA",2020-11-15,4891.85714285714,0.490961729205092
"2412","PA",2020-11-22,6357.42857142857,0.262051967724634
"2413","PA",2020-11-29,6793.85714285714,0.0663948596336016
"2414","PA",2020-12-06,8988.28571428571,0.279903299673378
"2415","PA",2020-12-13,10241.1428571429,0.130491078292462
"2416","PA",2020-12-20,9148.85714285714,-0.112784251460116
"2417","PA",2020-12-27,7740.14285714286,-0.16720882463998
"2418","PA",2021-01-03,7406.57142857143,-0.0440525073945047
"2419","PA",2021-01-10,8420.71428571429,0.128327019656774
"2420","PA",2021-01-17,6712,-0.226797687523872
"2421","PA",2021-01-24,5161.85714285714,-0.262600543017585
"2422","PA",2021-01-31,5613,0.0837889098127418
"2423","PA",2021-02-07,3871,-0.371572464364551
"2424","PA",2021-02-14,3513.42857142857,-0.0969205099005688
"2425","PA",2021-02-21,2654.57142857143,-0.280309140531135
